episode,timestep,reward
3878, 250080, 776.8101
3880, 250560, 737.6734
3882, 251040, 778.3851
3884, 251520, 851.6008
3886, 252000, 667.2857
3888, 252480, 741.3614
3890, 252960, 861.5699
3893, 253440, 672.0818
3895, 253920, 821.367
3897, 254400, 739.8895
3899, 254880, 846.6207
3902, 255360, 633.7454
3904, 255840, 963.3537
3906, 256320, 962.8121
3908, 256800, 857.3167
3910, 257280, 760.1825
3912, 257760, 790.1812
3914, 258240, 745.252
3916, 258720, 917.3616
3918, 259200, 551.9888
3920, 259680, 991.0556
3922, 260160, 1001.8157
3924, 260640, 900.1525
3926, 261120, 943.5934
3928, 261600, 667.3654
3930, 262080, 971.024
3932, 262560, 949.8544
3934, 263040, 909.222
3936, 263520, 935.2374
3938, 264000, 900.1778
3941, 264480, 571.9209
3943, 264960, 858.3218
3945, 265440, 861.13
3947, 265920, 828.248
3949, 266400, 969.7921
3951, 266880, 453.6489
3953, 267360, 890.1597
3956, 267840, 712.5688
3958, 268320, 850.0878
3962, 268800, 544.9167
3964, 269280, 933.0703
3966, 269760, 796.1088
3968, 270240, 932.9483
3970, 270720, 885.6355
3973, 271200, 657.5481
3975, 271680, 780.4775
3977, 272160, 713.7634
3979, 272640, 777.332
3982, 273120, 539.0293
3984, 273600, 948.1886
3987, 274080, 524.2314
3990, 274560, 656.4609
3992, 275040, 466.6171
3994, 275520, 880.3113
3999, 276000, 397.4502
4002, 276480, 547.9864
4005, 276960, 510.1179
4007, 277440, 912.5601
4009, 277920, 842.433
4011, 278400, 594.7329
4014, 278880, 513.2959
4016, 279360, 916.6848
4018, 279840, 589.1771
4020, 280320, 799.7951
4022, 280800, 818.5149
4024, 281280, 882.9865
4026, 281760, 823.1777
4028, 282240, 865.4108
4030, 282720, 943.029
4032, 283200, 888.1328
4034, 283680, 676.1952
4037, 284160, 577.2467
4039, 284640, 799.0332
4041, 285120, 994.3173
4043, 285600, 829.2856
4045, 286080, 754.7012
4047, 286560, 845.7952
4049, 287040, 1133.3608
4053, 287520, 462.6059
4055, 288000, 697.555
4057, 288480, 871.4618
4059, 288960, 281.8059
4061, 289440, 1077.0901
4063, 289920, 937.9113
4065, 290400, 953.3039
4067, 290880, 959.1679
4070, 291360, 705.0504
4072, 291840, 649.8412
4074, 292320, 506.8691
4076, 292800, 1108.315
4078, 293280, 776.0292
4080, 293760, 930.2423
4082, 294240, 967.547
4084, 294720, 1037.9777
4086, 295200, 926.3646
4088, 295680, 1034.8273
4090, 296160, 961.9049
4092, 296640, 836.8657
4095, 297120, 673.6424
4099, 297600, 541.3222
4101, 298080, 1005.9838
4103, 298560, 923.431
4105, 299040, 1029.9961
4108, 299520, 805.7603
4110, 300000, 1059.9412
4112, 300480, 1298.473
4114, 300960, 1103.8383
4118, 301440, 658.9094
4120, 301920, 882.8779
4122, 302400, 676.3707
4125, 302880, 724.5246
4128, 303360, 663.4824
4132, 303840, 452.74
4136, 304320, 644.3336
4138, 304800, 1129.7874
4140, 305280, 1128.7972
4142, 305760, 982.2565
4145, 306240, 831.2176
4147, 306720, 1028.9544
4149, 307200, 423.0113
4151, 307680, 1069.4934
4153, 308160, 958.488
4155, 308640, 1164.1152
4157, 309120, 971.4196
4159, 309600, 936.1608
4162, 310080, 553.6715
4164, 310560, 977.2198
4166, 311040, 915.618
4168, 311520, 989.7463
4170, 312000, 1009.7066
4173, 312480, 848.2472
4176, 312960, 789.3191
4180, 313440, 661.057
4182, 313920, 841.5788
4186, 314400, 486.8407
4188, 314880, 1002.891
4190, 315360, 1012.8876
4192, 315840, 1031.9283
4194, 316320, 729.0585
4196, 316800, 1298.3175
4198, 317280, 1158.3659
4201, 317760, 809.8837
4203, 318240, 1318.3233
4205, 318720, 1140.7274
4208, 319200, 558.8349
4210, 319680, 1283.2039
4212, 320160, 1206.7882
4214, 320640, 720.3322
4216, 321120, 1057.4583
4219, 321600, 593.6469
4222, 322080, 673.5118
4224, 322560, 1213.9305
4226, 323040, 1168.4701
4228, 323520, 1269.9524
4230, 324000, 1235.6158
4232, 324480, 1255.4765
4234, 324960, 1092.5721
4238, 325440, 516.008
4240, 325920, 1066.0262
4243, 326400, 866.6212
4245, 326880, 1374.1768
4247, 327360, 1321.3538
